Date,Price,Open,High,Low,Vol.,Change %
Jul 22 2019,27171.9,27174.18,27227.77,27088.9,226.95,0.0007
Jul 19 2019,27154.2,27246.38,27342.96,27145.78,287.69,-0.0025
Jul 18 2019,27222.97,27191.98,27266.81,27068.79,218.82,0.0001
Jul 17 2019,27219.85,27320.91,27343.06,27218.38,196.78,-0.0042
Jul 16 2019,27335.63,27349.32,27398.68,27290.24,226.00,-0.0009
Jul 15 2019,27359.16,27364.69,27364.69,27294.17,199.73,0.001
Jul 12 2019,27332.03,27139.49,27333.79,27135.45,248.39,0.009
Jul 11 2019,27088.08,26950.16,27088.45,26916.32,252.30,0.0085
Jul 10 2019,26860.2,26851.96,26983.45,26813.11,207.99,0.0029
Jul 09 2019,26783.49,26725.12,26807.7,26665.57,218.33,-0.0008
Jul 08 2019,26806.14,26835.64,26839.14,26744.87,214.29,-0.0043
Jul 05 2019,26922.12,26867.75,26950.81,26733.33,192.17,-0.0016
Jul 03 2019,26966,26832.32,26966,26831.44,149.84,0.0067
Jul 02 2019,26786.68,26719.53,26787.56,26632.65,219.27,0.0026
Jul 01 2019,26717.43,26805.86,26890.64,26616.21,285.35,0.0044
Jun 28 2019,26599.96,26605.93,26638.35,26522.27,499.35,0.0028
Jun 27 2019,26526.58,26523.72,26607.24,26465.32,246.93,-0.0004
Jun 26 2019,26536.82,26599.42,26660.04,26536.33,274.34,-0.0004
Jun 25 2019,26548.22,26731.61,26752.31,26527.66,282.16,-0.0067
Jun 24 2019,26727.54,26727.61,26806.52,26723.37,232.39,0.0003
Jun 21 2019,26719.13,26749.12,26907.37,26705.87,485.56,-0.0013
Jun 20 2019,26753.17,26665.38,26798.63,26539.69,278.17,0.0094
Jun 19 2019,26504,26490.16,26569.75,26415.05,240.95,0.0015
Jun 18 2019,26465.54,26228.88,26527.19,26227.76,273.49,0.0135
Jun 17 2019,26112.53,26108.53,26165.78,26049.8,199.50,0.0009
Jun 14 2019,26089.61,26076.36,26162.28,25988.09,208.02,-0.0007
Jun 13 2019,26106.77,26036.94,26146.91,25995.71,213.40,0.0039
Jun 12 2019,26004.83,26040.3,26082.1,25958.66,223.69,-0.0017
Jun 11 2019,26048.51,26180.59,26248.67,25998.87,253.49,-0.0005
Jun 10 2019,26062.68,26090.22,26210.61,26054.31,249.28,0.003
Jun 07 2019,25983.94,25768.72,26072.75,25768.72,263.01,0.0102
Jun 06 2019,25720.66,25567.45,25800.3,25518.05,248.07,0.0071
Jun 05 2019,25539.57,25451,25544.66,25373.58,262.66,0.0082
