Date,predicted_mean
1/30/2015,17378.494
2/2/2015,17540.213
2/3/2015,17637.668
2/4/2015,17687.697
2/5/2015,17634.26
2/6/2015,17666.873
2/9/2015,17716.28
2/10/2015,17784.91
2/11/2015,17849.377
2/12/2015,17877.053
2/13/2015,17870.834
2/17/2015,17855.355
2/18/2015,17912.23
2/19/2015,17960.184
2/20/2015,17991.932
2/23/2015,18064.03
2/24/2015,18057.777
2/25/2015,18022.418
2/26/2015,18075.709
2/27/2015,18037.709
3/2/2015,18013.947
3/3/2015,17950.219
3/4/2015,17858.389
3/5/2015,17792.56
3/6/2015,17670.41
3/9/2015,17572.719
3/10/2015,17620.465
3/11/2015,17660.42
3/12/2015,17729.625
3/13/2015,17745.107
3/16/2015,17811.748
3/17/2015,17876.336
3/18/2015,17971.18
3/19/2015,18026.85
3/20/2015,17897.168
3/23/2015,17724.201
3/24/2015,17588.008
3/25/2015,17596.965
3/26/2015,17702.285
3/27/2015,17692.658
3/30/2015,17636.004
3/31/2015,17596.35
4/1/2015,17691.066
4/2/2015,17738.21
4/6/2015,17756.568
4/7/2015,17780.26
4/8/2015,17859.613
4/9/2015,17885.357
4/10/2015,17903.79
4/13/2015,17934.893
4/14/2015,17943.994
4/15/2015,17842.15
4/16/2015,17840.314
4/17/2015,17856.258
4/20/2015,17844.188
4/21/2015,17900.691
4/22/2015,17924.182
4/23/2015,17905.668
4/24/2015,17917.766
4/27/2015,17875.588
4/28/2015,17805.408
4/29/2015,17829.764
4/30/2015,17896.139
5/1/2015,17849.88
5/4/2015,17758.646
5/5/2015,17778.115
5/6/2015,17909.63
5/7/2015,17961.088
5/8/2015,17933.684
5/11/2015,17947.725
5/12/2015,18013.707
5/13/2015,18119.582
5/14/2015,18120.62
5/15/2015,18167.725
5/18/2015,18143.934
5/19/2015,18135.064
5/20/2015,18073.002
5/21/2015,17995.588
5/22/2015,17966.398
5/26/2015,17968.453
5/27/2015,17918.398
5/28/2015,17904.309
5/29/2015,17876.066
6/1/2015,17890.62
6/2/2015,17816.29
6/3/2015,17730.36
6/4/2015,17670.041
6/5/2015,17639.613
6/8/2015,17759.703
6/9/2015,17860.521
6/10/2015,17800.648
6/11/2015,17696.844
6/12/2015,17719.104
6/15/2015,17796.518
6/16/2015,17863.871
6/17/2015,17957.406
6/18/2015,18016.297
6/19/2015,17958.4
6/22/2015,17895.52
6/23/2015,17821.84
6/24/2015,17745.844
6/25/2015,17629.582
6/26/2015,17546.637
6/29/2015,17572.506
